cap,nom_cap,art,inciso
Capitulo 1,bases de la institucionalidad,artículo 5,"El ejercicio de la soberaní­a reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana. Es deber de los órganos del Estado respetar y promover tales derechos, garantizados por esta ConstituciÃ³n, asÃ­ como por los tratados internacionales ratificados por Chile y que se encuentren vigentes."
Capitulo 1,bases de la institucionalidad,artículo 6,"Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella, y garantizar el orden institucional de la República ."
Capitulo 1,bases de la institucionalidad,artículo 6,"Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo."
Capitulo 1,bases de la institucionalidad,artículo 6,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.
Capitulo 1,bases de la institucionalidad,artículo 7,"Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley."
Capitulo 1,bases de la institucionalidad,artículo 7,"Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes."
Capitulo 1,bases de la institucionalidad,artículo 7,Todo acto en contravención a este artí­culo es nulo y originará las responsabilidades y sanciones que la ley seÃ±ale.
Capitulo 1,bases de la institucionalidad,artículo 8,El ejercicio de las funciones públicas obliga a sus titulares a dar estricto cumplimiento al principio de probidad en todas sus actuaciones.
Capitulo 1,bases de la institucionalidad,artículo 8,"Son públicos los actos y resoluciones de los órganos del Estado, asÃ­ como sus fundamentos y los procedimientos que utilicen. Sin embargo, sólo una ley de quÃ³rum calificado podrá establecer la reserva o secreto de aquÃ©llos o de Ã©stos, cuando la publicidad afectare el debido cumplimiento de las funciones de dichos Ã³rganos, los derechos de las personas, la seguridad de la NaciÃ³n o el interÃ©s nacional."
Capitulo 1,bases de la institucionalidad,artículo 8,"El Presidente de la República, los Ministros de Estado, los diputados y senadores, y las demás autoridades y funcionarios que una ley orgánica constitucional seÃ±ale, deberÃ¡n declarar sus intereses y patrimonio en forma pública."
Capitulo 1,bases de la institucionalidad,artículo 8,"Dicha ley determinará los casos y las condiciones en que esas autoridades delegarán a terceros la administración de aquellos bienes y obligaciones que supongan conflicto de interÃ©s en el ejercicio de su funciÃ³n pública. Asimismo, podrá considerar otras medidas apropiadas para resolverlos y, en situaciones calificadas, disponer la enajenaciÃ³n de todo o parte de esos bienes."
Capitulo 1,bases de la institucionalidad,artículo 9,"El terrorismo, en cualquiera de sus formas, es por esencia contrario a los derechos humanos."
Capitulo 1,bases de la institucionalidad,artículo 9,"Una ley de quórum calificado determinará las conductas terroristas y su penalidad. Los responsables de estos delitos quedarán inhabilitados por el plazo de quince aÃ±os para ejercer f unciones o cargos públicos, sean o no de elección popular, o de rector o director de establecimiento de educaciÃ³n, o para ejercer en ellos funciones de enseÃ±anza ; para explotar un medio de comunicaciÃ³n social o ser director o administrador del mismo, o para desempeÃ±ar en Ã©l funciones relacionadas con la emisiÃ³n o difusiÃ³n de opiniones o informaciones; ni podrÃ¡n ser dirigentes de organizaciones polÃ­ticas o relacionadas con la educaciÃ³n o de carÃ¡cter vecinal, profesional, empresarial, sindical, estudiantil o gremial en general, durante dicho plazo. Lo anterior se entiende sin perjuicio de otras inhabilidades o de las que por mayor tiempo establezca la ley."
Capitulo 1,bases de la institucionalidad,artículo 9,"Los delitos a que se refiere el inciso anterior serán considerados siempre comunes y no polí­ticos para todos los efectos legales y no procederá respecto de ellos el indulto particular, salvo para conmutar la pena de muerte por la de presidio perpetuo."
Capitulo 2,nacionalidad y ciudadania,artículo 10,"1  Los nacidos en el territorio de Chile, con excepción de los hijos de extranjeros que se encuentren en Chile en servicio de su Gobierno, y de los hijos de extranjeros transeúntes, todos los que, sin embargo, podrán optar por la nacionalidad chilena;"
Capitulo 2,nacionalidad y ciudadania,artículo 10,"2   Los hijos de padre o madre chilenos, nacidos en territorio extranjero. Con todo, se requerirá que alguno de sus ascendientes en lí­nea recta de primer o segundo grado, haya adquirido la nacionalidad chilena en virtud de lo establecido en los números 1Âº, 3Âº ó 4Âº;"
Capitulo 2,nacionalidad y ciudadania,artículo 10,"3   Los extranjeros que obtuvieren carta de nacionalización en conformidad a la ley, y"
Capitulo 2,nacionalidad y ciudadania,artículo 10,4   Los que obtuvieren especial gracia de nacionalización por ley.
Capitulo 2,nacionalidad y ciudadania,artículo 10,"La ley reglamentará los procedimientos de opción por la nacionalidad chilena; de otorgamiento, negativa y cancelación de las cartas de nacionalizaciÃ³n, y la formaciÃ³n de un registro de todos estos actos."
Capitulo 2,nacionalidad y ciudadania,artículo 11,"1  Por renuncia voluntaria manifestada ante autoridad chilena competente. Esta renuncia sólo producirá efectos si la persona, previamente, se ha nacionalizado en paÃ­s extranjero; y"
Capitulo 2,nacionalidad y ciudadania,artículo 11,"2  Por decreto supremo, en caso de prestación de servicios durante una guerra exterior a enemigos de Chile o de sus aliados;"
Capitulo 2,nacionalidad y ciudadania,artículo 11,"3  Por cancelación de la carta de nacionalización, y"
Capitulo 2,nacionalidad y ciudadania,artículo 11,4   Por ley que revoque la nacionalización concedida por gracia.
Capitulo 2,nacionalidad y ciudadania,artículo 11,"Los que hubieren perdido la nacionalidad chilena por cualquiera de las causales establecidas en este artí­culo, sólo podrán ser rehabilitados por ley."
Capitulo 2,nacionalidad y ciudadania,artículo 12,"La persona afectada por acto o resolución de autoridad administrativa que la prive de su nacionalidad chilena o se la desconozca, podrá recurrir, por sÃ­ o por cualquiera a su nombre, dentro del plazo de treinta dÃ­as, ante la Corte Suprema , la que conocerá como jurado y en tribunal pleno. La interposición del recurso suspenderÃ¡ los efectos del acto o resoluciÃ³n recurridos."
Capitulo 2,nacionalidad y ciudadania,artículo 13,Son ciudadanos los chilenos que hayan cumplido dieciocho aí±os de edad y que no hayan sido condenados a pena aflictiva.
Capitulo 2,nacionalidad y ciudadania,artículo 13,"La calidad de ciudadano otorga los derechos de sufragio, de optar a cargos de elección popular y los demás que la Constitución o la ley confieran."
Capitulo 2,nacionalidad y ciudadania,artículo 13,"Los ciudadanos con derecho a sufragio que se encuentren fuera del paí­s podrán sufragar desde el extranjero en las elecciones primarias presidenciales, en las elecciones de Presidente de la República y en los plebiscitos nacionales. Una ley orgánica constitucional establecerÃ¡ el procedimiento para materializar la inscripción en el registro electoral y regularÃ¡ la manera en que se realizarÃ¡n los procesos electorales y plebiscitarios en el extranjero, en conformidad con lo dispuesto en los incisos primero y segundo del artÃ­culo 18."
Capitulo 2,nacionalidad y ciudadania,artículo 13,"Tratándose de los chilenos a que se refieren los números 2 º y 4Âº del artÃ­culo 10, el ejercicio de los derechos que les confiere la ciudadanÃ­a estará sujeto a que hubieren estado avecindados en Chile por mÃ¡s de un aÃ±o."
Capitulo 2,nacionalidad y ciudadania,artículo 14,"Los extranjeros avecindados en Chile por más de cinco aí±os, y que cumplan con los requisitos seÃ±alados en el inciso primero del artÃ­culo 13, podrán ejercer el derecho de sufragio en los casos y formas que determine la ley."
Capitulo 2,nacionalidad y ciudadania,artículo 14,"Los nacionalizados en conformidad al N º 3Âº del artí­culo 10, tendrán opción a cargos públicos de elecciÃ³n popular sÃ³lo despuÃ©s de cinco aÃ±os de estar en posesiÃ³n de sus cartas de nacionalizaciÃ³n."
Capitulo 2,nacionalidad y ciudadania,artículo 15,"En las votaciones populares, el sufragio será personal, igualitario, secreto y voluntario."
Capitulo 2,nacionalidad y ciudadania,artículo 15,Sólo podrá convocarse a votación popular para las elecciones y plebiscitos expresamente previstos en esta ConstituciÃ³n.
Capitulo 2,nacionalidad y ciudadania,artículo 16,1  Por interdicción en caso de demencia;
Capitulo 2,nacionalidad y ciudadania,artículo 16,"2  Por hallarse la persona acusada por delito que merezca pena aflictiva o por delito que la ley califique como conducta terrorista, y"
Capitulo 2,nacionalidad y ciudadania,artículo 16,"3  Por haber sido sancionado por el Tribunal Constitucional en conformi dad al inciso séptimo del número 15Âº del artÃ­culo 19 de esta Constitución. Los que por esta causa se hallaren privados del ejercicio del derecho de sufragio lo recuperarán al tÃ©rmino de cinco aÃ±os, contado desde la declaraciÃ³n del Tribunal."
Capitulo 2,nacionalidad y ciudadania,artículo 16,"Esta suspensión no producirá otro efecto legal, sin perjuicio de lo dispuesto en el inciso sÃ©ptimo del número 15 º del artÃ­culo 19."
Capitulo 2,nacionalidad y ciudadania,artículo 17,1  Por pérdida de la nacionalidad chilena;
Capitulo 2,nacionalidad y ciudadania,artículo 17,"2  Por condena a pena aflictiva, y"
Capitulo 2,nacionalidad y ciudadania,artículo 17,"3  Por condena por delitos que la ley califique como conducta terrorista y los relativos al tráfico de estupefacientes y que hubieren merecido, además, pena aflictiva ."
Capitulo 2,nacionalidad y ciudadania,artículo 17,"Los que hubieren perdido la ciudadaní­a por la causal indicada en el número 2 º, la recuperarán en conformidad a la ley, una vez extinguida su responsabilidad penal. Los que la hubieren perdido por las causales previstas en el número 3Âº podrÃ¡n solicitar su rehabilitación al Senado una vez cumplida la condena."
Capitulo 2,nacionalidad y ciudadania,artículo 18,"Una ley orgánica constitucional determinará su organización y funcionamiento, regulará la forma en que se realizarÃ¡n los procesos electorales y plebiscitarios, en todo lo no previsto por esta ConstituciÃ³n y garantizarÃ¡ siempre la plena igualdad entre los independientes y los miembros de partidos polÃ­ticos tanto en la presentaciÃ³n de candidaturas como en su participaciÃ³n en los seÃ±alados procesos. Dicha ley establecerÃ¡ tambiÃ©n un sistema de financiamiento, transparencia, lÃ­mite y control del gasto electoral."
Capitulo 2,nacionalidad y ciudadania,artículo 18,"Una ley orgánica constitucional contemplará, además, un sistema de registro electoral, bajo la dirección del Servicio Electoral, al que se incorporarÃ¡n, por el solo ministerio de la ley, quienes cumplan los requisitos establecidos por esta ConstituciÃ³n."
Capitulo 2,nacionalidad y ciudadania,artículo 18,El resguardo del orden público durante los actos electorales y plebiscitarios corresponderá a las Fuerzas Armadas y Carabineros del modo que indique la ley.
Capitulo 3,de los derechos y deberes constitucionales,artículo 19,"La Constitución asegura a todas las personas:1 El derecho a la vida y a la integridad física y psíquica de la persona.La ley protege la vida del que está por nacer.La pena de muerte sólo podrá establecerse por delito contemplado en ley aprobada con quórum calificado.Se prohíbe la aplicación de todo apremio ilegítimo;2º.- La igualdad ante la ley. En Chile no hay persona ni grupo privilegiados. En Chile no hay esclavos y el que pise su territorio queda libre. Hombres y mujeres son iguales ante la ley.Ni la ley ni aut oridad alguna podrán establecer diferencias arbitrarias;3º.- La igual protección de la ley en el ejercicio de sus derechos.Toda persona tiene derecho a defensa jurídica en la forma que la ley señale y ninguna autoridad o individuo podrá impedir, restringir o perturbar la debida intervención del letrado si hubiere sido requerida. Tratándose de los integrantes de las Fuerzas Armadas y de Orden y Seguridad Pública, este derecho se regirá, en lo concerniente a lo administrativo y disciplinario, por las normas pertinentes de sus respectivos estatutos.La ley arbitrará los medios para otorgar asesoramiento y defensa jurídica a quienes no puedan procurárselos por sí mismos. La ley señalará los casos y establecerá la forma en que las personas naturales víctimas de delitos dispondrán de asesoría y defensa jurídica gratuitas, a efecto de ejercer la acción penal reconocida por esta Constitución y las leyes."
